Metric, Avg. organic traffic, Avg. organic traffic value, Avg. Impressions, Organic pages, Organic positions: 1–3, Organic positions: 4–10, Organic positions: 11–20, Organic positions: 21–50, Organic positions: 51+, SERP Features: Featured snippet (Owned), SERP Features: AI Overview (Owned), SERP Features: Local pack (Owned), SERP Features: Sitelinks (Owned), SERP Features: Top stories (Owned), SERP Features: Image pack (Owned), SERP Features: Videos (Owned), SERP Features: Discussions and forums (Owned), SERP Features: X (Twitter) (Owned), SERP Features: Top ads (Owned), SERP Features: Bottom ads (Owned), SERP Features: Paid sitelinks (Owned), SERP Features: Shopping ads (Owned), SERP Features: Knowledge card (Owned), SERP Features: Knowledge panel (Owned), SERP Features: People also ask (Owned), SERP Features: Thumbnail (Owned), SERP Features: Video preview (Owned), SERP Features: Shopping (Owned), Organic entities (traffic): Democratic Union Party (PYD), Organic entities (traffic): PDX Models, Organic entities (traffic): PYD, Organic traffic: Your brand (PYD), Organic traffic: Other brands, Organic traffic: Non-branded, Organic positions by intent: Informational, Organic positions by intent: Navigational, Organic positions by intent: Commercial, Organic positions by intent: Transactional, Organic positions by intent: Branded, Organic positions by intent: Local
Volume, Monthly volume, Monthly volume, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, Monthly volume, Monthly volume, Monthly volume, Monthly volume, Monthly volume, Monthly volume, -, -, -, -, -, -
Location, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations
2025-06-30, 11, 1, 170, 10, 1, 4, 1, 12, 9, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0, 0, 0, 0, 0, 11, 27, 0, 2, 0, 1, 16
2025-07-07, 14, 1, 190, 10, 2, 3, 0, 13, 13, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0, 0, 0, 0, 0, 13, 31, 0, 1, 0, 1, 19
2025-07-14, 16, 1, 250, 11, 3, 4, 0, 17, 16, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0, 0, 0, 0, 0, 16, 40, 0, 2, 0, 1, 25
2025-07-21, 17, 2, 240, 11, 3, 4, 0, 22, 19, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0, 0, 0, 0, 0, 17, 48, 0, 2, 0, 4, 29
2025-07-28, 19, 3, 240, 12, 3, 5, 1, 20, 22, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0, 0, 0, 0, 0, 18, 51, 0, 2, 0, 3, 31
2025-08-04, 32, 3, 331, 13, 3, 6, 2, 21, 21, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0, 0, 0, 0, 0, 31, 53, 0, 2, 0, 4, 31
2025-08-11, 51, 3, 310, 13, 4, 6, 3, 20, 23, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0, 0, 0, 0, 0, 50, 56, 0, 2, 0, 5, 30
2025-08-18, 51, 4, 310, 12, 4, 6, 5, 17, 27, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0, 0, 0, 0, 0, 50, 59, 0, 1, 0, 7, 29
2025-08-25, 47, 2, 280, 11, 4, 4, 4, 17, 32, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0, 0, 0, 0, 0, 47, 61, 0, 1, 0, 8, 30
2025-09-01, 45, 2, 260, 8, 3, 5, 2, 18, 40, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0, 0, 0, 0, 0, 44, 68, 0, 3, 0, 10, 35
2025-09-08, 43, 0, 260, 8, 3, 6, 1, 20, 42, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0, 0, 0, 0, 0, 43, 72, 0, 4, 0, 11, 36
2025-09-15, 47, 0, 352, 10, 3, 7, 1, 14, 38, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0, 0, 0, 0, 0, 46, 63, 0, 4, 1, 11, 30
2025-09-22, 47, 0, 360, 10, 3, 8, 1, 11, 25, 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0, 0, 0, 0, 0, 46, 48, 0, 2, 1, 8, 21
