Date,Avg organic traffic,Avg traffic value,Avg impressions,1-3,4-10,11-20,21-50,51+,Organic pages,Featured snippet,Local pack,Image carousel,Sitelinks,Knowledge panel,Video carousel,Top stories,Related questions,Brand traffic,Non-brand traffic,Informational,Navigational,Commercial,Transactional
"Jun 30, 2024",142,$454,2180,8,12,18,32,45,11,1,0,2,3,0,1,0,4,43,99,57,28,34,23
"Jul 7, 2024",156,$499,2340,9,14,20,35,48,12,2,1,3,4,0,1,0,5,47,109,62,31,37,26
"Jul 14, 2024",163,$522,2480,10,15,22,37,51,12,2,1,3,4,1,2,0,6,49,114,65,33,39,26
"Jul 21, 2024",171,$547,2650,11,16,23,38,53,13,3,1,4,5,1,2,1,6,51,120,68,34,41,28
"Jul 28, 2024",178,$569,2780,12,17,25,40,56,13,3,2,4,5,1,2,1,7,53,125,71,36,43,28
"Aug 4, 2024",185,$592,2910,13,18,26,42,58,14,4,2,5,6,1,3,1,8,56,129,74,37,44,30
"Aug 11, 2024",192,$614,3040,14,19,28,43,61,14,4,2,5,6,2,3,1,8,58,134,77,38,46,31
"Aug 18, 2024",199,$637,3170,15,20,29,45,63,15,5,2,6,7,2,3,1,9,60,139,80,40,48,31
"Aug 25, 2024",206,$659,3300,16,21,31,46,66,15,5,3,6,7,2,4,2,10,62,144,82,41,49,34
"Sep 1, 2024",213,$681,3430,17,22,32,48,68,16,6,3,7,8,2,4,2,11,64,149,85,43,51,34
"Sep 8, 2024",220,$704,3560,18,23,34,49,71,16,6,3,7,8,3,4,2,12,66,154,88,44,53,35
"Sep 15, 2024",227,$726,3690,19,24,35,51,73,17,7,3,8,9,3,5,2,13,68,159,91,45,54,37
"Sep 21, 2024",234,$749,3820,20,25,37,52,76,17,7,4,8,9,3,5,3,14,70,164,94,47,56,37
